15.956,0.39396,0.49325
1.0572,0.7384,1.062
0.61352,15.952,1.7367
1.1652,1.2091,2.1143
15.865,16.174,6.0723
1.1678,0.82989,3.0794
0.37711,15.495,5.0026
1.9709,0.17328,7.4988
0.21611,0.32834,10.046
0.62836,1.8439,9.9899
1.5079,0.99428,8.2131
0.72078,1.1463,10.804
16.123,15.993,12.256
1.0321,0.43407,14.025
16.216,0.12962,14.314
1.121,1.2736,15.175
0.070564,2.4543,0.90197
0.86288,2.9996,0.66139
0.13565,2.646,1.6574
0.79723,0.41642,3.9361
0.37622,1.1969,4.6992
0.094253,4.4843,6.0272
15.982,2.0034,6.5252
0.82718,2.9429,8.0774
0.37014,1.5691,8.0058
1.0977,2.7472,9.6533
0.67124,16.222,9.4318
2.3324,3.2924,11.655
0.60047,1.9961,12.244
1.2596,3.5296,13.136
0.1735,2.0846,14.44
16.11,2.7969,15.475
1.5202,4.0212,15.582
1.0073,4.8903,0.89837
0.21118,4.2529,2.0588
0.15504,3.979,4.0961
0.49914,2.9359,3.1682
1.2424,5.2944,5.0444
1.061,3.9978,5.394
0.85524,4.643,7.4249
0.17982,4.247,8.7072
0.70927,4.873,9.2351
15.1,5.3638,11.69
0.75838,4.427,11.035
0.32833,3.3548,11.326
0.49346,4.9784,13.447
0.12064,3.8497,15.579
1.2406,5.5904,15.286
0.84357,5.8889,0.39076
1.566,7.1154,1.2769
15.713,5.0135,1.5145
0.42635,7.9093,3.4356
14.87,4.8744,3.7367
1.015,8.0159,4.8925
15.972,6.679,6.2581
0.96218,7.1962,6.8787
0.209,5.6895,7.8544
1.2305,7.6361,9.2673
0.35274,5.905,10.065
15.435,7.2586,10.365
0.08546,5.9654,12.468
0.59963,6.9829,13.131
16.091,4.8382,13.781
0.12811,6.7481,14.504
0.93631,7.7819,0.56427
1.1095,10.152,1.3679
15.959,8.2995,1.9036
1.2681,7.9905,3.7588
0.68341,9.3941,4.44
0.7633,8.7183,4.6698
16.183,9.4933,6.51
0.33815,9.6816,6.857
15.584,7.749,8.1899
2.6199,10.282,7.7216
0.018003,8.4044,9.1225
2.0478,11.177,11.823
15.407,8.2936,12.109
1.0415,8.1284,13.569
0.5774,8.2012,14.248
0.99241,8.2502,15.392
15.85,10.363,16.227
1.2704,11.504,1.024
0.27872,10.937,1.7249
1.1366,10.821,3.4606
15.908,9.1474,4.0343
1.2448,10.776,5.2703
15.792,11.451,6.9177
1.1766,11.374,7.1079
0.011984,10.497,7.676
1.1272,10.893,8.8976
15.402,10.177,10.078
0.57952,11.25,11.424
0.47739,9.7473,11.995
0.76547,10.595,13.055
15.484,8.7786,12.336
1.3671,10.805,15.051
15.307,11.636,0.99493
15.61,14.84,15.846
0.33861,11.584,2.424
1.2462,12.84,3.689
15.801,11.934,4.1649
1.486,13.659,4.4427
0.23785,12.38,6.1212
1.0279,12.615,7.0723
15.912,12.232,7.9122
0.83205,12.966,8.6289
0.32399,12.24,10.711
0.67053,12.195,12.394
3.0456,11.042,10.822
1.1872,13.753,12.864
0.072948,12.354,13.905
0.36887,13.359,15.508
1.1491,12.644,0.56231
1.2209,14.775,0.71027
15.608,15.821,2.6099
0.225,15.524,3.3678
14.75,13.767,3.4526
0.80145,15.029,4.4532
16.03,14.551,5.9078
1.9527,15.262,6.926
15.685,14.911,7.7862
1.7214,15.255,9.2551
16.077,14.256,10.096
0.67837,14.391,11.271
0.38811,14.342,12.85
0.74044,14.781,12.461
16.024,14.608,14.132
1.0896,15.78,15.146
2.1718,14.014,15.94
2.8068,0.82416,1.04
2.6761,16.014,1.4357
1.7996,1.2746,3.0364
2.4061,15.665,3.3152
1.3765,0.11633,4.7943
1.5753,15.737,5.8488
3.2602,0.46904,6.7802
2.4622,0.0075341,7.8204
3.3202,2.4098,9.9142
2.0656,15.88,10.449
3.002,0.78568,11.979
1.0057,15.478,12.014
3.2163,2.0463,13.506
2.3946,0.16855,14.335
2.54,0.94889,14.823
2.7146,1.6738,0.4174
3.3853,2.274,1.1952
3.6502,0.80659,3.3134
3.004,4.1746,1.1957
1.3005,3.176,3.5388
4.3152,2.0575,4.6476
1.8155,2.1133,6.1703
3.3291,3.6565,7.6503
2.2073,2.0811,8.447
3.2991,2.863,9.121
1.8126,1.4072,10.95
4.8872,1.8605,11.393
1.5534,2.9976,11.227
1.3798,2.9773,12.991
2.0916,1.693,14.454
2.6911,2.9956,14.888
1.625,3.4219,0.95265
2.5794,5.5623,1.1477
2.6159,4.4295,4.0338
4.3675,5.7365,2.1207
3.2649,2.6659,4.5009
4.6256,5.4069,5.0839
2.2959,4.2879,5.5278
4.0507,6.648,8.9215
2.5365,3.7525,9.0872
4.1895,4.3525,7.907
2.1673,3.0874,10.054
1.935,5.244,11.101
2.339,3.6432,12.712
3.253,5.4658,13.57
2.2575,3.8977,13.91
3.1154,4.901,15.269
2.2485,6.2062,15.967
2.9756,7.5753,0.94658
1.3412,7.2599,2.5786
2.4423,7.5297,2.4098
2.044,6.055,4.1245
2.4874,7.6605,5.382
2.4041,6.31,6.8632
3.7594,8.4115,5.7489
2.2683,6.051,7.7026
3.864,7.0792,9.0661
2.405,6.0988,10.059
2.1363,8.3787,12.484
1.9659,5.9824,12.566
2.9623,7.6528,13.554
1.4421,6.4192,14.33
3.0189,7.2913,15.773
2.2553,8.5878,15.703
